Symbol	Description
0078.HK	Regal Hotels International Holdings Ltd
0079.HK	Century Legend (Holdings) Ltd
0080.HK	Shaw Brothers (Hong Kong) Ltd
0081.HK	Shell Electric Mfg (Holdings) Co. Ltd
0082.HK	Yanion International Holdings Ltd
0083.HK	Sino Land Co. Ltd
0084.HK	Stelux Holdings International Ltd
0085.HK	China Electronics Corporation Holdings Co. Ltd
0086.HK	Sun Hung Kai & Co. Ltd
0087.HK	Swire Pacific Ltd 'B'
0088.HK	Tai Cheung Holdings Ltd
0089.HK	Tai Sang Land Development Ltd
0090.HK	Gold Wo International Holdings
0091.HK	New Smart Holdings Ltd
0092.HK	Champion Technology Holdings Ltd
0093.HK	Termbray Industries International (Holdings) Ltd
0094.HK	Greenheart Group Limited
0095.HK	New Heritage Holdings Ltd
0096.HK	Wing Lung Bank Ltd
0097.HK	Henderson Investment Ltd
0098.HK	Xingfa Aluminium Holdings Ltd
0099.HK	Wong's International (Holdings) Ltd
0100.HK	Clear Media Ltd
0101.HK	Hang Lung Properties Ltd
0102.HK	Arnhold Holdings Ltd
0103.HK	Shougang Concord Century Holdings Ltd
0104.HK	Asia Commercial Holdings Ltd
0105.HK	Associated International Hotels Ltd
0106.HK	Shenzhen High-Tech Holdings Ltd
0107.HK	Sichuan Expressway Co. Ltd
0108.HK	Buildmore International Ltd
0109.HK	Wonderful World Holdings Ltd
0110.HK	Fortune Telecom Holdings Ltd
0111.HK	Hantec Investment Holdings Ltd
0112.HK	Chi Cheung Investment Co. Ltd
0113.HK	Dickson Concepts (International) Ltd
0114.HK	Herald Holdings Ltd
0115.HK	Grand Field Group Holdings Ltd
0116.HK	Chow Sang Sang Holdings International Ltd
0117.HK	Eyang Holdings Group
0118.HK	Cosmos Machinery Enterprises Ltd
0119.HK	Poly (Hong Kong) Investments Ltd
0120.HK	Cosmopolitan International Holdings Ltd
0121.HK	Chia Tai Enterprises International Ltd
0122.HK	Crocodile Garments Ltd
0123.HK	Yuexiu Property
0124.HK	Kingway Brewery Holdings Ltd
0125.HK	Sun Hing Vision Group Holdings Ltd
0126.HK	Tak Sing Alliance Holdings Ltd
0127.HK	Chinese Estates Holdings Ltd
0128.HK	ENM Holdings Ltd
0129.HK	Asia Standard International Group Ltd
0130.HK	Moiselle International Holdings Ltd
0131.HK	Cheuk Nang (Holdings) Ltd
0132.HK	China Investments Holdings Ltd
0133.HK	China Merchants China Direct Investments Ltd
0135.HK	Kunlun Energy
0136.HK	Mascotte Holdings Ltd
0137.HK	Jinhui Holdings Co. Ltd
0138.HK	CCT Telecom Holdings Ltd
0139.HK	139 Holdings Ltd
0141.HK	Great China Holdings Ltd
0142.HK	First Pacific Co. Ltd
0143.HK	Global Tech (Holdings) Ltd
0144.HK	China Merchants Holdings (International) Co. Ltd
0145.HK	Hong Kong Building and Loan Agency Ltd
0146.HK	Tai Ping Carpets International Ltd
0147.HK	Graneagle Holdings Ltd
0148.HK	Kingboard Chemical Holdings Ltd
0149.HK	China Velocity Group Ltd
0151.HK	Want Want China Holdings Ltd
0152.HK	Shenzhen International Holdings Ltd
0153.HK	QPL International Holdings Ltd Warrants 2007
0154.HK	Beijing Development (Hong Kong) Ltd
0156.HK	Lippo China Resources Ltd
0157.HK	Natural Beauty Bio-Technology Ltd
0158.HK	Melbourne Enterprises Ltd
0159.HK	Wah Nam International Holdings Ltd
0160.HK	Hon Kwok Land Investment Co. Ltd
0161.HK	CATIC Shenzhen Holdings Ltd
0162.HK	China Golden Development Holdings Ltd
0163.HK	Emperor International Holdings Ltd
0164.HK	Premium Land Ltd
0165.HK	China Everbright Ltd
0166.HK	New Times Group Holdings Ltd
0167.HK	IDT International Ltd
0168.HK	Tsingtao Brewery Co. Ltd
0169.HK	China Fair Land Holdings Ltd
0170.HK	China Assets (Holdings) Ltd
0171.HK	Silver Grant International Industries Ltd
0172.HK	Goldbond Group Holdings Ltd
0173.HK	K. Wah International Holdings Ltd
0174.HK	Kee Shing (Holdings) Ltd
0175.HK	Geely Automobile Holdings Ltd
0176.HK	United Pacific Industries Ltd
0177.HK	Jiangsu Expressway Co. Ltd
0178.HK	Sa Sa International Holdings Ltd
0179.HK	Johnson Electric Holdings Ltd
0180.HK	Kader Holdings Co. Ltd
0181.HK	Fujian Holdings Ltd
0182.HK	China WindPower Group Ltd
0183.HK	CITIC International Financial Holdings Ltd
0184.HK	Keck Seng Investments (Hong Kong) Ltd
0185.HK	China Credit Holdings Ltd
0186.HK	Grande Holdings Ltd
0187.HK	Beiren Printing Machinery Holdings Ltd
0188.HK	SW Kingsway Capital Holdings Ltd
0190.HK	Hong Kong Construction (Holdings) Ltd
0191.HK	Lai Sun Garment (International) Ltd
0193.HK	Capital Estate Ltd
0194.HK	Liu Chong Hing Investment Ltd
0195.HK	Grand Hotel Holdings A
0196.HK	Honghua Group Ltd
0197.HK	Heng Tai Consumables Group Ltd
0198.HK	SMI Corporation Ltd
0199.HK	Macau Prime Properties Holdings Ltd
0200.HK	Melco International Development Ltd
0201.HK	Magnificent Estates Ltd
0202.HK	Interchina Holdings Co. Ltd
0204.HK	China Investment Development
0205.HK	SEEC Media Group Ltd
0206.HK	ITC Corporation Ltd - Preference
0207.HK	Hong Kong Parkview Group Ltd
0208.HK	Polytec Asset Holdings Ltd
0209.HK	Winshine Entertainment & Media
0210.HK	Daphne International
0211.HK	Styland Holdings
0212.HK	Nanyang Holdings Ltd
0213.HK	National Electronics Holdings Ltd
0214.HK	Asia Orient Holdings Ltd
0215.HK	Hutchison Telecommunications
0216.HK	Chinney Investments Ltd
0217.HK	China Chengtong Development Group Ltd
0218.HK	Shenyin Wanguo (H.K.) Ltd
0219.HK	Shun Ho Technology Holdings Ltd
0220.HK	Uni-President China Holdings Ltd
0221.HK	LeRoi Holdings Ltd
0222.HK	Min Xin Holdings Ltd
0223.HK	Kenfair International (Holdings) Ltd
0224.HK	Pioneer Global Group Ltd
0225.HK	Pokfulam Development Co. Ltd
0226.HK	Lippo Ltd
0227.HK	First Shanghai Investments Ltd
0228.HK	Hon Po Group (Lobster King) Ltd
0229.HK	Raymond Industrial Ltd
0230.HK	Minmetals Land
0231.HK	Dynamic Global Holdings Ltd
0232.HK	AVIC International
0234.HK	New Century Group Hong Kong Ltd
0235.HK	China Strategic Holdings Ltd
0236.HK	San Miguel Brewery Hong Kong Ltd
0237.HK	Safety Godown Co. Ltd
0238.HK	Lei Shing Hong Ltd
0239.HK	Pak Fah Yeow International Ltd
0240.HK	Build King Holdings Ltd
0241.HK	CITIC 21CN Co. Ltd
0242.HK	Shun Tak Holdings Ltd
0243.HK	QPL International Holdings Ltd
0244.HK	Sincere Co. Ltd
0245.HK	Landune International Ltd
0247.HK	Tsim Sha Tsui Properties Ltd
0248.HK	HKC International Holdings Ltd
0250.HK	Sino-i Technology Ltd
0251.HK	S E A Holdings Ltd
0253.HK	Shun Ho Resources Holdings Ltd
0255.HK	Lung Kee (Bermuda) Holdings Ltd
0256.HK	China Haidian Holdings Ltd
0257.HK	China Everbright International Ltd
0258.HK	Tomson Group Ltd
0259.HK	Yeebo (International Holdings) Ltd
0260.HK	Sino Gas Group Ltd
0261.HK	CCT Tech International Ltd
0262.HK	Deson Development International Holdings Ltd
0263.HK	Poly Investments Holdings Ltd
0264.HK	Chanco International Group Ltd
0265.HK	South China Holdings Ltd
0266.HK	Tian Teck Land Ltd
0267.HK	CITIC Pacific Ltd
0268.HK	Kingdee International Software Group Co. Ltd
0269.HK	Seapower Resources International Ltd
0270.HK	Guangdong Investment Ltd
0272.HK	Shui On Land
0273.HK	Willie International Holdings Ltd
0274.HK	Global Green Tech Group Ltd
0275.HK	Hanny Holdings Ltd
0276.HK	Mongolia Energy
0277.HK	Tern Properties Co. Ltd
0278.HK	Wah Ha Realty Co. Ltd
0279.HK	Freeman Corporation Ltd
0280.HK	King Fook Holdings Ltd
0281.HK	Rivera (Holdings) Ltd
0282.HK	Next Media Ltd
0283.HK	Matsunichi Communication Holdings Ltd
0285.HK	BYD Electronic International Company Ltd
0286.HK	G-Prop (Holdings) Ltd
0287.HK	Winfair Investment Co. Ltd
0288.HK	Berjaya Holdings (HK) Ltd
0289.HK	Wing On Company International Ltd
0290.HK	China Conservational Power Holdings Ltd
0291.HK	China Resources Enterprise Ltd
0293.HK	Cathay Pacific Airways Ltd
0294.HK	Yangtzekiang Garment Ltd
0295.HK	Kong Sun Holdings Ltd
0296.HK	Emperor Entertainment Hotel Ltd
0297.HK	Sinofert Holdings Ltd
0298.HK	Chuang's China Investments Ltd
0299.HK	SinoCom Software Group Limited
0300.HK	Shenji Group Kunming Machine
0303.HK	VTech Holdings Ltd
0305.HK	Magnum International Holdings Ltd
0306.HK	Kwoon Chung Bus Holdings Ltd
0308.HK	China Travel International Investment Hong Kong Ltd
0309.HK	Lo's Enviro-Pro Holdings Ltd
0310.HK	Prosperity Investment Holdings Ltd
0312.HK	Lamex Holdings
0313.HK	Dickson Group Holdings Ltd
0315.HK	SmarTone Telecommunications Holdings Ltd
0316.HK	Orient Overseas (International) Ltd
0317.HK	Guangzhou Shipyard International Co. Ltd
0318.HK	Vongroup Ltd
0319.HK	China Metal International Holdings Inc.
0320.HK	Computime Group Ltd
0321.HK	Texwinca Holdings Ltd
0322.HK	Tingyi (Cayman Islands) Holdings Corp.
0323.HK	Maanshan Iron & Steel Co. Ltd
0326.HK	China Star Entertainment Ltd
0327.HK	Shanxi Central Pharmaceutical Intl Ltd
0328.HK	Alco Holdings Ltd
0329.HK	Golden Dragon Group (Holdings) Ltd
0330.HK	Esprit Holdings Ltd
0331.HK	China Resources Peoples Telephone
0332.HK	Ngai Lik Industrial Holdings Ltd
0333.HK	Top Form International Ltd
0334.HK	TCL Display
0335.HK	Upbest Group Ltd
0336.HK	Huabao International Holdings Ltd
0337.HK	Cec International Holdings Ltd W0309
0338.HK	Sinopec Shanghai Petrochemical Co. Ltd
0339.HK	Earnest Investments Holdings Ltd
0340.HK	China Mining Resources Group Ltd
0341.HK	Cafe de Coral Holdings Ltd
0342.HK	NewOcean Energy Holdings Ltd
0343.HK	Culturecom Holdings Ltd
0345.HK	Vitasoy International Holdings Ltd
0346.HK	Sino Union Petroleum & Chemical International Ltd
0347.HK	Angang New Steel Co. Ltd
0348.HK	Lung Cheong International Holdings Ltd
0351.HK	Asia Energy Logistics
0352.HK	Fortune Sun (China) Holdings Ltd
0353.HK	Aurora Global Investment Holdings Ltd
0354.HK	Chinasoft International Ltd
0355.HK	Century City International Holdings Ltd
0356.HK	DT Capital Limited
0357.HK	Hainan Meilan International Airport Co. Ltd
0358.HK	Jiangxi Copper Co. Ltd
0359.HK	China Haisheng Juice Holdings Co. Ltd
0360.HK	New Focus Auto Tech Holdings Ltd
0361.HK	Sino Golf Holdings Ltd
0362.HK	Daqing Petroleum and Chemical Group Ltd
0363.HK	Shanghai Industrial Holdings Ltd
0364.HK	Huafeng Textile International Group Ltd
0365.HK	Sun East Technology (Holdings) Ltd
0366.HK	Luks Industrial (Group) Ltd
0367.HK	Chuang's Consortium International Ltd
0368.HK	Sinotrans Shipping Ltd
0369.HK	USI Holdings Ltd
0370.HK	China Best Group Holding Ltd
0371.HK	Shang Hua Holdings Ltd
0372.HK	ITC Corporation Ltd
0373.HK	Allied Group Ltd
0374.HK	Four Seas Mercantile Holdings Ltd
0375.HK	YGM Trading Ltd
0376.HK	Asia TeleMedia Ltd
0377.HK	New Island Printing Holdings Ltd
0378.HK	Ciam Group
0379.HK	PME Group Ltd
0380.HK	World Trade Bun Kee Ltd
0381.HK	Kiu Hung International Holdings Ltd
0382.HK	Welling
0383.HK	COL Capital Ltd
0384.HK	China Gas Holdings Ltd
0385.HK	Chinney Alliance Group Ltd
0386.HK	Sinopec
0387.HK	Leeport (Holdings) Ltd
0388.HK	Hong Kong Exchanges and Clearing Ltd
0389.HK	Moulin Global Eyecare Holdings Ltd
0390.HK	China Railway Group Ltd
0391.HK	Mei Ah Entertainment Group Ltd
0392.HK	Beijing Enterprises Holdings Ltd
0393.HK	Glorious Sun Enterprises Ltd
0395.HK	Asia Zirconium Ltd
0396.HK	Gold-Face Holdings Ltd
0397.HK	Town Health Medical Technology Holdings Co. Ltd
0398.HK	Oriental Watch Holdings Ltd
0399.HK	Far East Pharmaceutical Technology Co. Ltd
0400.HK	Cogobuy
0401.HK	401 Holdings
0402.HK	Ming Hing Holdings Ltd
0403.HK	Starlite Holdings Ltd
0404.HK	Hsin Chong Construction Group Ltd
0405.HK	GZI Real Estate Investment Trust
0406.HK	Yau Lee Holdings Ltd
0408.HK	Yip's Chemical Holdings Ltd
0410.HK	SOHO China Ltd
0411.HK	Lam Soon (Hong Kong) Ltd
0412.HK	China Innovative Finance Group Limited
0413.HK	South China Industries Ltd
0416.HK	Bank of Jinzhou
0417.HK	Tse Sui Luen Jewellery (International) Ltd
0418.HK	Founder Holdings Ltd
0419.HK	Jiuhao Health
0420.HK	Fountain Set (Holdings) Ltd
0422.HK	Vietnam Manufacturing and Export Processing Ltd
0423.HK	Hong Kong Economic Times Holdings Ltd
0425.HK	Minth Group Ltd
0426.HK	One Media Group Ltd
0428.HK	Harmony Asset Limited
0430.HK	Oriental Explorer Holdings Ltd
0431.HK	Greater China Holdings Ltd
0432.HK	Pacific Century Premium Developments Ltd
0433.HK	Sun Man Tai Holdings Co. Ltd
0434.HK	Boyaa
0435.HK	Sunlight Real Estate Investment Trust
0436.HK	
0438.HK	IRICO Group Electronics Co. Ltd
0439.HK	Climax International Co. Ltd
0440.HK	Dah Sing Financial Holdings Ltd
0442.HK	KTL International
0444.HK	Sincere Watch (Hong Kong) Ltd
0445.HK	China Fire Safety Enterprise Group Holdings Ltd
0449.HK	Chigo Holding Ltd
0450.HK	Hung Hing Printing Group Ltd
0451.HK	Same Time Holdings Ltd
0455.HK	Yunnan Enterprises Holdings Ltd
0456.HK	New Rank City Development
0458.HK	Tristate Holdings Ltd
0459.HK	Midland ICI Ltd
0460.HK	Sihuan Pharmaceutical Holdings Group Ltd
0464.HK	Kenford Group Holdings Ltd
0465.HK	Ford Motor Credit Co. 7.2% Notes 2007
0467.HK	United Energy
0468.HK	
0469.HK	General Motors Acceptance Corp 1000n0207
0471.HK	Global Flex Holdings Ltd
0472.HK	MACRO-LINK International Holdings Ltd
0474.HK	Winbox International (Holdings) Ltd
0475.HK	Noble Jewelry Holdings Ltd
0476.HK	China Elegance (Holdings) Ltd
0479.HK	Cil Holdings
0480.HK	HKR International Ltd
0482.HK	Sandmartin International Holdings Ltd
0483.HK	Bauhaus International (Holdings) Ltd
0484.HK	
0485.HK	Starlight International Holdings Ltd
0486.HK	RUSAL
0487.HK	Macau Success Ltd
0488.HK	Lai Sun Development Co. Ltd
0489.HK	Dongfeng Motor Group Co. Ltd
0491.HK	See Corporation Ltd
0493.HK	GOME Electrical Appliances Holding Ltd
0494.HK	Li & Fung Ltd
0495.HK	Paladin Ltd
0496.HK	Kasen International Holdings Ltd
0497.HK	Capital Strategic Investment Ltd
0498.HK	PYI Corporation Ltd
0499.HK	HyComm Wireless Ltd
0500.HK	DVN (Holdings) Ltd
0503.HK	China Paradise Electronics Retail Ltd
0505.HK	Xingye Copper International Group Ltd
0506.HK	China Foods
0508.HK	Chevalier iTech Holdings Ltd
0509.HK	Lg China Fund
0510.HK	Cash Financial Services Ltd
0511.HK	Television Broadcasts Ltd
0512.HK	MAXX Bioscience Holdings Ltd
0513.HK	Continental Holdings Ltd
0515.HK	TC Interconnect Holdings Ltd
0517.HK	COSCO International Holdings Ltd
0518.HK	Tungtex (Holdings) Co. Ltd
0519.HK	Applied International Holdings Ltd
0520.HK	
0521.HK	Shougang Concord Technology Holdings Ltd
0522.HK	ASM Pacific Technology Ltd
0524.HK	e-Kong Group Ltd
0525.HK	Guangshen Railway Co. Ltd
0526.HK	Magician Industries (Holdings) Ltd
0527.HK	Galaxy Semi-Conductor Holdings Ltd
0528.HK	General Motors Acceptance Corp 100 N0207
0529.HK	SiS International Holdings Ltd
0530.HK	Fortuna International Holdings Ltd
0531.HK	Samson Holding Ltd
0532.HK	Wong's Kong King International (Holdings) Ltd
0533.HK	Goldlion Holdings Ltd
0535.HK	Frasers Property (China) Ltd
0536.HK	Tradelink Electronic Commerce Ltd
0538.HK	Ajisen (China) Holdings Ltd
0539.HK	Victory City International Holdings Ltd
0540.HK	Thai-Asia Fund Ltd
0542.HK	Morning Star Resources Ltd
0543.HK	Pacific Online Ltd
0544.HK	Daido Group Ltd
0546.HK	Fufeng Group Ltd.  
0547.HK	Sun Innovation Holdings Ltd
0548.HK	Shenzhen Expressway Co. Ltd
0549.HK	Jilin Qifeng Chemical Fiber Co. Ltd
0550.HK	Recruit Holdings
0551.HK	Yue Yuen Industrial (Holdings) Ltd
0552.HK	China Communications Services
0553.HK	Nanjing Panda Electronic Co. Ltd
0554.HK	Hans Energy Co. Ltd
0555.HK	REXLot Holdings Limited
0556.HK	Pan Asia Environmental Protection Group Ltd
0557.HK	City e-Solutions Ltd
0558.HK	L.K. Technology Holdings Ltd.
0559.HK	Hua Yi Copper Holdings Ltd
0560.HK	Chu Kong Shipping Development Co. Ltd
0563.HK	Neo-China Group (Holdings) Ltd
0564.HK	Champion Technology Holdings Ltd Warrants 2007
0565.HK	Art Textile Technology International Co. Ltd
0567.HK	Daisho Microline Holdings Ltd
0568.HK	Shandong Molong Petroleum Machinery Co. Ltd
0569.HK	Kith Holdings W0406
0570.HK	Wing Shan International Ltd
0571.HK	eSun Holdings Ltd
0572.HK	Spread Prospects Holdings Ltd
0573.HK	Hanny Holdings W0204
0574.HK	Pashun Pharma
0575.HK	Regent Pacific Group Ltd
0576.HK	Zhejiang Expressway Co. Ltd
0577.HK	Paul Y. Engineering Group Ltd
0578.HK	Everbest Century Holdings Ltd
0579.HK	Beijing Jingneng Clean Energy
0580.HK	Sun.King Power Electronics Group Ltd
0581.HK	China Oriental Group Co. Ltd
0582.HK	Greenfield Chemical Holdings Ltd
0583.HK	SCMP Group Ltd
0585.HK	Imagi International Holdings Ltd
0586.HK	Conch Venture
0588.HK	Beijing North Star Co. Ltd
0589.HK	Ports Design Ltd
0590.HK	Luk Fook Holdings (International) Ltd
0592.HK	Bossini International Holdings Ltd
0593.HK	Quality HealthCare Asia Ltd
0595.HK	AV Concept Holdings Ltd
0596.HK	China Online (bermuda) Ltd W0306
0598.HK	Sinotrans Ltd
0599.HK	E. Bon Holdings Ltd
0600.HK	Honesty Treasure International Holdings Ltd
0601.HK	Group Sense (International) Ltd
0602.HK	Kingboard Chemical Holdings Ltd W0312
0603.HK	Nippon Asia Investments Holdings Ltd
0604.HK	Shenzhen Investment Ltd
0605.HK	K.P.I. Co. Ltd
0606.HK	China Agri-Industries
0607.HK	Warderly International Holdings Ltd
0608.HK	High Fashion International Ltd
0609.HK	Qpl International Holdings Ltd W0401
0610.HK	Wai Kee Holdings Ltd
0611.HK	Tack Hsin Holdings Ltd
0612.HK	China Investment Fund Co. Ltd
0613.HK	Yugang International Ltd
0616.HK	Easyknit Enterprises Holdings Ltd
0617.HK	Paliburg Holdings Ltd
0618.HK	EC-Founder (Holdings) Co. Ltd
0619.HK	South China Brokerage Co. Ltd
0620.HK	UDL Holdings Ltd
0621.HK	Taung Gold International Ltd
0622.HK	Enerchina Holdings Ltd
0623.HK	SNP Leefung Holdings Ltd
0626.HK	Public Financial Holdings Ltd
0627.HK	U-RIGHT International Holdings Ltd
0628.HK	Teem Foundation Group Ltd
0629.HK	Yue Da Holdings Ltd
0630.HK	Jackin International Holdings Ltd
0631.HK	Wing Shing International Holdings Ltd Warrants 2007
0632.HK	China Merchants DiChain (Asia) Ltd
0633.HK	China All Access
0635.HK	Playmates Holdings Ltd
0636.HK	Fubon Bank Ltd
0637.HK	Lee Kee Holdings Ltd
0638.HK	Kin Yat Holdings Ltd
0639.HK	Fushan International Energy Group Ltd
0640.HK	Harmony Asset W0205
0641.HK	Fong's Industries Co. Ltd
0643.HK	Carry Wealth Holdings Ltd
0645.HK	KTP Holdings Ltd
0646.HK	China Environmental Technology
0647.HK	Joyce Boutique Holdings Ltd
0648.HK	Softbank Investment International (Strategic) Ltd
0650.HK	Shun Cheong Holdings Ltd
0651.HK	Wonson International Holdings Ltd
0653.HK	Bonjour Holdings Ltd
0655.HK	Hongkong Chinese Ltd
0656.HK	Fosun International
0657.HK	G-Vision International (Holdings) Ltd
0658.HK	China High Speed Transmission Equipment Group Ltd
0659.HK	NWS Holdings Ltd
0660.HK	Nority International Group Ltd
0661.HK	China National Resources Development Holdings Ltd
0662.HK	Asia Financial Holdings Ltd
0663.HK	Swank International Manufacturing Co. Ltd
0665.HK	Taifook Securities Group Ltd
0666.HK	Yu Ming Investments Ltd
0668.HK	Hong Kong Catering Management Ltd
0669.HK	Techtronic Industries Co. Ltd
0670.HK	China Eastern Airlines Corporation Ltd
0672.HK	Barclays Asian Selection Fund Ltd-aseans
0674.HK	United Power Investment Ltd
0675.HK	K & P International Holdings Ltd
0676.HK	Pegasus International Holdings Ltd
0677.HK	Golden Resources Development International Ltd
0678.HK	Star Cruises Ltd
0679.HK	Asia Tele-Net And Technology Corporation Ltd
0680.HK	Nan Hai Corporation Ltd
0681.HK	Chinese People Gas Holdings Co. Ltd
0682.HK	Chaoda Modern Agriculture (Holdings) Ltd
0683.HK	Kerry Properties Ltd
0684.HK	Allan International Holdings Ltd
0685.HK	Ming Pao Enterprise Corporation Ltd
0686.HK	Gay Giano International Group Ltd
0687.HK	Tysan Holdings Ltd
0688.HK	China Overseas Land & Investment Ltd
0689.HK	Great Wall Cybertech Ltd
0690.HK	Uni-Bio Science Group Ltd
0692.HK	Ching Hing (Holdings) Ltd
0693.HK	Tan Chong International Ltd
0694.HK	Beijing Capital International Airport Co. Ltd
0695.HK	Dongwu Cement Ltd
0696.HK	TravelSky Technology Ltd
0697.HK	Shougang Concord International Enterprises Co. Ltd
0698.HK	Tongda Group Holdings Ltd
0699.HK	Chia Hsin Cement Greater China Holding Corporation
0700.HK	Tencent Holdings Ltd
0701.HK	CNT Group Ltd
0702.HK	Genesis Energy Holdings Ltd
0703.HK	Innovo Leisure Recreation Holdings Ltd
0704.HK	Frankie Dominion International Ltd
0705.HK	Zhongda International Holdings Ltd Warrants 2006
0706.HK	FinTronics Holdings Co. Ltd
0707.HK	Co-Prosperity Holdings Ltd
0708.HK	New Media Group Holdings Ltd
0709.HK	Giordano International Ltd
0710.HK	Varitronix International Ltd
0711.HK	Chun Wo Holdings Ltd
0712.HK	China Resources Cement Holdings Ltd
0713.HK	World Houseware (Holdings) Ltd
0715.HK	Hutchison Harbour Ring Ltd
0716.HK	Singamas Container Holdings Ltd
0717.HK	Emperor Capital Group Ltd
0718.HK	Bestway International Holdings Ltd
0719.HK	Shandong Xinhua Pharmaceutical Co. Ltd
0720.HK	Wo Kee Hong (Holdings) Ltd
0721.HK	Comtec Solar Systems Group Limited
0722.HK	Delta Networks Inc
0723.HK	Anex International Holdings Ltd
0724.HK	Semtech International Holdings Ltd
0725.HK	Perennial International Ltd
0726.HK	South East Group Ltd
0727.HK	VXL Capital Ltd
0728.HK	China Telecom Corporation Ltd
0729.HK	Carico Holdings Ltd
0730.HK	Shougang Concord Grand (Group) Ltd
0731.HK	Samson Paper Holdings Ltd
0732.HK	Truly International Holdings Ltd
0733.HK	Hopefluent Group Holdings Ltd
0735.HK	China Power New Energy
0736.HK	Northern International Holdings Ltd
0737.HK	Hopewell Highway Infrastructure Ltd
0738.HK	Le Saunda Holdings Ltd
0743.HK	Asia Cement Holdings
0745.HK	Wing Hong (Holdings) Ltd
0746.HK	Lee & Man Holding Ltd
0747.HK	Shenyang Public Utility Holdings Co. Ltd
0750.HK	China Singyes Solar Tech
0751.HK	Skyworth Digital Holdings Ltd
0752.HK	Pico Far East Holdings Ltd
0753.HK	Air China Ltd
0754.HK	Hopson Development Holdings Ltd
0755.HK	Shanghai Zendai Property Ltd
0756.HK	Iquorum Cybernet W0404
0757.HK	Solargiga Energy Holdings Ltd
0758.HK	Junefield Department Store Group Ltd
0759.HK	CEC International Holdings Ltd
0760.HK	Tomorrow International Holdings Ltd
0762.HK	China Unicom Ltd
0763.HK	ZTE Corporation
0764.HK	Eternity Investment Limited
0765.HK	Perfectech International Holdings Ltd
0766.HK	Sino Prosper Holdings Ltd
0767.HK	Pacific Plywood Holdings Ltd
0768.HK	UBA Investments Ltd
0769.HK	China Rare Earth Holdings Ltd
0770.HK	Shanghai Growth
0771.HK	Automated Systems Holdings Ltd
0775.HK	CK Life Sciences Int (Holdings) Inc
0776.HK	JF Household Furnishings
0777.HK	NetDragon Websoft Inc
0778.HK	Fortune REIT
0787.HK	
0789.HK	Artini China Company Ltd
0794.HK	Come Sure Group
0798.HK	
0799.HK	
